KEY,Japanese
card.status.produce.label.growth_rate,ボーナス
card.status.produce.label.plan,プラン
card.status.produce.label.produce_item,Pアイテム
card.status.produce.label.produce_card,スキルカード
card.status.produce.label.produce_skill,スキル

// カードのスキルリスト
card.skill_list.heading.produce_card,スキルカード強化
card.skill_list.heading.unlock_skill,サポートアビリティ (解放済)
card.skill_list.heading.lock_skill,サポートアビリティ(未解放)

// カードのオーディションパラメータ
card.status.live_battle.label.total,総合力
card.status.live_battle.label.type,タイプ
card.status.live_battle.label.stage,適性
card.status.live_battle.label.skill,スキル

// カードのPイベント情報のオーバーレイ
card.produce_event.overlay.title,サポートイベント詳細確認
card.produce_event.overlay.label.parameter,パラメータ上昇
card.produce_event.overlay.label.produce_card,スキルカード「{0}」を獲得可能
card.produce_event.overlay.label.item,獲得可能アイテム

// メモリー
memory.live_place.unknown,---
memory.detail.title,メモリー詳細
memory.detail.ability.lock.text,(     Lv{0}で習得)
memory.detail.enhance.level_change.before,<size=36>Lv</size>{0}
memory.detail.equipped,装備中
memory.detail.name.placeholder,２０文字まで
memory.detail.produce_history.button,プロデュース履歴
memory.detail.info.idol,アイドル
memory.detail.info.shottime,撮影日
memory.detail.info.place,撮影場所
memory.detail.tab.contest,コンテスト
memory.detail.tab.produce,プロデュース
memory.detail.ability_list.empty,所持アビリティがありません
memory.detail.ability.lock,"(Lv{0}で解放)"
memory.detail.update_name,メモリーの名前を変更しました
memory.detail.name_edit.title,メモリー名変更
memory.detail.name_edit.description,メモリー名を入力してください
memory.detail.name_edit.complete,メモリー名変更を完了しました
memory.detail.tag_edit.title,タグ名変更
memory.detail.tag_edit.description,タグ名を入力してください
memory.detail.lock.locked,メモリーを保護しました
memory.detail.lock.unlocked,メモリーの保護を解除しました
memory.detail.produce.card.title,獲得可能スキルカード
memory.detail.produce.card.phase.start,開始時に獲得
memory.detail.produce.card.phase.start.short,開始時
memory.detail.produce.card.phase.audition_mid,中間試験クリア時に獲得
memory.detail.produce.ability.title,アビリティ
memory.detail.produce.plan_type.only,のみ
memory.detail.contest.status.title,パラメータ
memory.detail.contest.card.title,スキルカード
memory.detail.contest.item.title,Pアイテム
memory.detail.contest.power.title,総合力
memory.tag.modified, タグを変更しました
memory.tag.untagged, タグ\n設定
memory.tag.none,タグ設定なし
memory.tag.sheet.title,タグ選択
memory.tag.sheet.description,メモリーに設定するタグを選んでください
memory.list.button.detail,詳細を見る
memory.list.button.convert,メモリー変換
memory.list.sell.max_number.toast,選択できる枚数は最大{0}人です
memory.list.sell.empty.toast,変換するメモリーを選択してください
memory.list.sell.full.toast,変換するメモリーが上限に達しています
memory.list.all_character, ALL
memory.list.sell_button, メモリー変換
memory.list.empty, 条件に当てはまるメモリーがありません
memory.ability.contest,コンテストアビリティ
memory.ability.produce,メモリーアビリティ
memory.sell.screen.title,メモリー変換
memory.sell.button.execute,変換する
memory.sell.list.cell.equip,装備中
memory.sell.list.cell.produce_progress,編成中
memory.sell.warning.use_contest, コンテストに編成中のメモリーは変換できません
memory.sell.warning.use_produce, プロデュースに編成中のメモリーは変換できません
memory.sell.warning.protected, ロック中のメモリーは変換できません
memory.sell.warning.set_profile, プロフィールに設定中のメモリーは変換できません
memory.sell.warning.set_meishi, 名刺に設定中のメモリーは変換できません
memory.sell.warning.empty,変換するメモリーが選択されていません
memory.sell.executed, メモリーを変換しました
memory.sell.button.all_select,全選択
memory.sell.button.all_unselect,全解除
memory.sell.unselect,選択解除
memory.sell.confirm.title,変換確認
memory.sell.confirm.warning1,選択中のメモリーを変換してアイテムを入手します。\nよろしいですか？
memory.sell.confirm.warning2,※選択中のメモリーはなくなります
memory.sort.score,コンテスト総合力
memory.sort.grade,プロデュースクリアランク
memory.sort.shottime,入手
memory.sort.character,アイドル
memory.sort.vocal,ボーカル
memory.sort.dance,ダンス
memory.sort.visual,ビジュアル
memory.sort.tag,タグ
memory.filter.idol,アイドル
memory.filter.grade,評価
memory.filter.tag,タグ
memory.filter.produce_card_effect,プロデュース用スキルカード
memory.filter.exam_battle_card_effect,コンテスト用スキルカード
memory.filter.exam_battle_item_effect,コンテスト用Pアイテム
memory.filter.sheet.empty, 条件に当てはまるメモリーがありません
memory.filter.produce_effect.title,メモリーアビリティ
memory.filter.produce_effect.vocaladdition,ボーカル増加
memory.filter.produce_effect.danceaddition,ダンス増加
memory.filter.produce_effect.visualaddition,ビジュアル増加
memory.filter.produce_effect.vocalgrowthrateaddition,ボーカルレッスン\nボーナス増加
memory.filter.produce_effect.dancegrowthrateaddition,ダンスレッスン\nボーナス増加
memory.filter.produce_effect.visualgrowthrateaddition,ビジュアルレッスン\nボーナス増加
memory.filter.produce_effect.maxstaminaaddition,体力最大値増加
memory.filter.produce_effect.staminarecoverfix,体力回復
memory.filter.produce_effect.producepointaddition,Pポイント獲得
memory.result_grade.f,F
memory.result_grade.e,E
memory.result_grade.d,D
memory.result_grade.c,C
memory.result_grade.b,B
memory.result_grade.a,A
memory.result_grade.s,S
memory.result_grade.ss,SS
memory.thumbnail.set_profile,設定中
memory.thumbnail.phase.noti,開
memory.history.none,プロデュース履歴がありません
memory.gift.idol_none_label,プロデュース専用メモリー

// コンテスト
festival.top.title,フェスTOP
festival.top.tower.name,タワー
festival.top.trio.name,コンテスト
festival.top.nonet.name,9人コンテスト
festival.top.noti.remain,あと{0:N0}日
festival.match.select.title,相手選択
festival.match.select.level,PLv{0}
festival.match.select.rival.level,PLv{0}
festival.match.select.rank,{0:N0}位
festival.match.select.term,{0} ~ {1}
festival.match.select.parameter.zero,---
festival.unit.edit.title,ユニット編成
festival.match.confirm.title,オーディション準備
pvp.rate.memory.edit.title,メモリー設定

// PVP
pvp.rate.title,コンテスト
pvp.rate.contest,CONTEST
pvp.rate.stamina,STAMINA
pvp.rate.judging_trend,審査基準
pvp.rate.ranking,ランキング
pvp.rate.reward,報酬
pvp.rate.match.history,対戦履歴
pvp.rate.unit.edit,ユニット編成
pvp.rate.rehearsal,リハーサル
pvp.rate.unit_edit.reset_sheet.title,編成リセット
pvp.rate.unit_edit.reset_sheet.txt,編成されているメモリーをすべて外します
pvp.rate.unit_edit.reset_sheet.alert,※現在の編成は保存されません
pvp.rate.promotion_line,昇格ライン
pvp.rate.maintain_line,維持ライン
pvp.rate.total_power,総合力
pvp.rate.total_total_power,総合力合計
pvp.rate.point,{0:N0}Pt
pvp.rate.point2,{0:N0}<size=36>Pt</size>
pvp.rate.point3,"({0:N0}Pt)"
pvp.rate.point4,"+{0:N0}<size=30>Pt"
pvp.rate.point5,"{0:N0}<size=30>Pt"
pvp.rate.point6,{0:N0}Pt
pvp.rate.support_bonus.percent,+{0}<size=48>%</size>
pvp.rate.support_bonus.sheet.description,コンテストスコアに対してかかるボーナスです。
pvp.rate.support_bonus.sheet.bullet_point1,"・サポートカードのレベルが上がるほど高い\n　ボーナスが獲得できます"
pvp.rate.support_bonus.sheet.bullet_point2,"・所持しているサポートカードのボーナスの\n　合計がコンテストのスコアに対してかかるサ\n　ポートボーナスになります"
pvp.rate.play_reward,勝利ポイント
pvp.rate.battle.confirm,対戦確認
pvp.rate.battle.confirm.description,挑戦権を消費しパフォーマンス対決に挑戦します。
pvp.rate.unit.default_name,ユニット{0}
pvp.rate.memory_setting.reset_sheet.title,設定リセット
pvp.rate.memory_setting.reset_sheet.txt,編成されているメモリーをすべて外します
pvp.rate.memory_setting.auto_select_sheet.description,選択したアイドルに評価値が高いメモリーが自動で設定されます
pvp.rate.ranking.current.tab_name,グレード{0}
pvp.rate.reward.rank,{0}
pvp.rate.reward.rank.between,{0} ~ {1}
pvp.rate.reward.rank.between.indent,{0}\n~ {1}
pvp.rate.reward.rank.tail,{0} ~
pvp.rate.reward.rank.description,シーズン終了時の順位に応じて報酬を獲得できます
pvp.rate.reward.rate.description,レートPtを一定数貯めるごとに報酬を獲得できます
pvp.rate.result.win,Win
pvp.rate.result.lose,Lose
pvp.rate.stamina.small,小
pvp.rate.stamina.medium,中
pvp.rate.stamina.large,大
pvp.rate.stamina.extra_large,特大
pvp.rate.status.diff,"({0:+#;-#;})"
pvp.rate.unit.non_valid.toast,ユニットを編成してください
pvp.rate.edit_name.sheet.title,ユニット名
pvp.rate.edit_name.sheet.description,ユニット名を入力してください
pvp.rate.transition.exchange.disable,対象の交換所は現在開いていません
pvp.rate.same_character_confirm_sheet.title,アイドル重複
pvp.rate.same_character_confirm_sheet.description,他のユニット枠に編成中のアイドルのメモリーを選択しています。このまま編成すると以下のアイドルがユニットから外れますがよろしいですか？
pvp.rate.invalid_sub_memory_confirm_sheet.title,サブメモリー編成解除確認
pvp.rate.invalid_sub_memory_confirm_sheet.description,サブメモリーに編成されたメモリーとアイドルかプランが異なるメモリーをメインに編成しようとしています。このまま編成するとサブメモリーが外れますがよろしいですか？
pvp.rate.unit_auto_confirm_sheet.tile,おまかせ編成
pvp.rate.unit_auto_confirm_sheet.description,おまかせでメモリーを編成します\nよろしいですか？
pvp.rate.unit_auto_confirm_sheet.alert,メインメモリーとサブメモリーには必ず同じプランのメモリーが編成されます
pvp.rate.memory_edit.card.name,【{0}】
pvp.rate.replace_sub_memory_confirm_sheet.tile,サブメモリー編成解除確認
pvp.rate.replace_sub_memory_confirm_sheet.description,サブメモリーに編成されたメモリーを外し、\nメインメモリーに編成します。\nよろしいですか？
pvp.rate.replace_main_memory_confirm_sheet.tile,メインメモリー編成解除確認
pvp.rate.replace_main_memory_confirm_sheet.description,メインメモリーに編成されたメモリーを外し、\nサブメモリーに編成します。\nよろしいですか？
pvp.rate.battle_start_button.disable.count,挑戦回数が不足しています
pvp.rate.memory_cell_label.organizing,編成中
pvp.rate.memory_cell_label.same_character,アイドル重複
pvp.rate.memory_cell_label.main_memory,メイン編成中
pvp.rate.memory_cell_label.sub_memory,サブ編成中
pvp.rate.memory_cell_label.myself,編成中
pvp.rate.end_time,"{0} まで"
pvp.rate.skill_card.duplication.toast,1枚しか編成できないスキルカードです
pvp.rate.support_bonus,サポートボーナス +{0}
pvp.rate.slot.unlock.condition,グレード{0}以降解放
pvp.rate.bonus.percent,{0}<size=24>%
pvp.rate.stage,ステージ{0}
pvp.rate.term,"{0} 〜 {1}"
pvp.rate.sub_memory_select.disable_main_memory.toast,メインメモリーを未設定にすることはできません
pvp.rate.no_organized_confirm_sheet.title,メモリー未編成
pvp.rate.no_organized_confirm_sheet.description,メモリーが編成されていないステージがあり\nます。本当にコンテストに挑戦しますか？
pvp.rate.no_organized_confirm_sheet.alert,※メモリー未編成のステージには自動でデフォ\nルトメモリーが編成されます
pvp.rate.no_organized_confirm_sheet.execute,挑戦
pvp.rate.changed_formation_confirm_sheet.title,ユニット編成可能数変動
pvp.rate.changed_formation_confirm_sheet.description,グレードの変動により、編成可能なユニット数が変更されました。\n編成可能数を超えたユニットは編成情報がリセットされます
pvp.rate.changed_formation_confirm_sheet.execute,ユニット編成へ
pvp.rate.sub_memory_select.main_only,このステージに編成可能な「{0}」のメモリーが\n複数枚ないため、メイン設定のみの編成になります
pvp.rate.sub_memory_select.decision_button,サブ決定
pvp.rate.npc_memory_detail_confirm_sheet.description,メモリー未編成の枠に自動で編成されるメモリーです。このメモリーの詳細を確認することはできません。
pvp.rate.sub_memory_select.edit_warning,※メインとサブには同じプランのメモリーのみ編成可能です
pvp.rate.match_history.list.empty,対戦履歴はありません

// audition
audition.battle_start.clear_border,合格条件
audition.battle_start.config_title,審査基準
audition.battle_start.start_button,対戦開始
audition.battle_start.bonus_value,{0}<size=42>%</size>
audition.battle_start.evaluate.bad,がんばろう！
audition.battle_start.evaluate.normal,もうちょっと！
audition.battle_start.evaluate.good,いいね！
audition.battle_start.evaluate.great,すばらしい！
audition.battle_start.button.next,タップして次へ
audition.battle_start.dearness,親愛度効果
audition.config.rank_description,{0}位以上
audition.config.score_description,もしくはスコア{0}以上

// contest
contest.common.pt_text,{0:N0}<size=32>Pt</size>
contest.common.pt_text_36,{0:N0}<size=36>Pt</size>
contest.common.plus_pt_text,+{0:N0}<size=32>Pt</size>
contest.common.pt_text_hover,{0:N0}<size=30>Pt</size>
contest.common.pt_unit,Pt
contest.common.pt_none,---
contest.preparation.main_button,対戦開始
contest.preparation.skip_button,スキップ
contest.preparation.skip_toggle,全対戦スキップ
contest.preparation.skip_all.check_button,全対戦スキップ
contest.preparation.unit.1st,1位
contest.preparation.unit.power,総合力
contest.preparation.stage.title,ステージ
contest.preparation.stage.1st,ステージ1
contest.preparation.stage.2nd,ステージ2
contest.preparation.stage.3rd,ステージ3
contest.preparation.detail.button,詳細
contest.preparation.rehearsal.button,中止
contest.preparation.detail.button.disable,異なるバージョンでの対戦のため詳細が確認できません
contest.button.next,終了
contest.match_result.next,NEXT
contest.result.user_name.user,あなた
contest.result.user_name.rival,対戦相手
contest.result.rank_unit,位
contest.result.rating,レート
contest.result.rating.pt,Pt
contest.result.coin,コンテストメダル
contest.result.fan,ファン数
contest.result_rate_sheet.title,レート報酬
contest.result_rate_sheet.rate_point,レートPt
contest.log.top.button.detail,詳細ログ
contest.log.top.button.replay,リプレイ
contest.log.graph.turn,{0}ターン目
contest.log.graph.rank.unit.st,st
contest.log.graph.rank.unit.nd,nd
contest.log.graph.rank.unit.rd,rd
contest.log.graph.rank.unit.th,th
contest.log.graph.point,{0:N0}Pt
contest.log.graph.hover.turn,{0}ターン目
contest.log.graph.hover.play_card,使用したスキルカード
contest.log.graph.hover.empty_card,使用カード無し
contest.log.detail.title,ログ
contest.log.detail.unit_button,編成詳細
contest.stage_gimmick_sheet.title,応援/トラブル詳細

//イベント
story_event.period.between,{0}〜{1}
story_event.period,開催期間
story_event.period.end,受け取り期間
story_event.pt,累計イベントPt
story_event.reward,累計イベントPt報酬
story_event.reward.next,次の報酬
story_event.story_reward,ストーリーイベントコミュ
story_event.story_reward.next,次のコミュ解放
story_event.story_reward.reveal_count,解放数
story_event.list_detail,一覧
story_event.mission,イベントミッション
story_event.exchange,コイン交換所
story_event.event_bonus,イベントボーナス
story_event.featured_reward,報酬詳細
story_event.how_to_play,遊び方
story_event.main_reward.overlay,報酬詳細
story_event.bonus.description.character,対象のプロデュースアイドルをプロデュースするとイベントボーナスがつき、イベントPtの獲得数が増えます。
story_event.bonus.description.idol,対象のプロデュースアイドルをプロデュースするとイベントボーナスがつき、イベントPtの獲得数が増えます。\nまた才能開花段階が上がるほどボーナスの値が大きくなります。
story_event.bonus.description.support,対象のサポートカードを所持しているとイベントボーナスがつき、イベントコインの獲得数が増えます。\nまた解放段階が上がるほどボーナスの値が大きくなります。
story_event.bonus.description_pt_double,※ボーナス対象のアイドルとプロデュースアイドルはボーナス効果\n　が高い方が優先されます。
story_event.bonus.character,ボーナス対象アイドル
story_event.bonus.idol,ボーナス対象プロデュースアイドル
story_event.bonus.support_card,ボーナス対象サポートカード
story_event.event_coin_bonus,イベントコインボーナス
story_event.get_score_bonus,+{0}<size=30>%</size>
story_event.get_score_bonus_max,/{0}<size=30>%</size>
story_event.close.title,イベント終了
story_event.close.description,イベントは終了しています
story_event.close.top,イベントの期間は終了しました


story_event.result.get_score_header,イベントPt
story_event.result.event_score_bonus,イベントPtボーナス
story_event.result.get_score,獲得イベントPt
story_event.result.score_reward_list_header,イベント報酬進捗

// 持ち物
item.top.title,持ち物
item.tab.button.consumption_enhance,消費・強化
item.tab.button.gasha_exchange,ガシャ・交換
item.tab.button.piece,ピース
item.top.list.empty,このカテゴリの持ち物を所持していません
item.use,使う
item.move,遷移
item.possession,所持
item.detail,詳細
item.quantity,× {0:N0}
item.button.consumption,消費
item.button.enhance,強化
item.button.produce,プロデュース
item.button.sell,売却
item.button.exchange,変換
item.button.idol_card_piece,ピース
item.button.stamina_regen,体力回復
item.button.gasha_ticket,ガシャチケット
item.button.other,その他
item.button.costume,衣装
item.button.idol,アイドル
item.sheet.detail.title,持ち物詳細
item.sheet.detail.quantity,所持数
item.sheet.detail.location,主な入手方法
item.sheet.consume.title,使用数選択
item.sheet.consume.description,持ち物を使用します
item.sheet.consume.consume_count,使用数：
item.toast.consume,持ち物を使用しました
item.toast.ap_recovery_disable.no_item,所持していません
item.toast.ap_recovery_disable.stamina_max,APが満タンのため、回復できません
item.toast.use_disable,所持していません
item.sell.title,持ち物売却
item.sell.list.empty,売却可能な持ち物を所持していません
item.sheet.expire_date,期限詳細
item.sheet.expire_date.label,期限
item.sheet.sell.title,売却数選択
item.sheet.sell.description,アイテムを売却します。
item.sheet.sell.sell_label,売却数：
item.toast.sell,売却しました
item.transition.idol_list,アイドル\n一覧へ
item.transition.support_list,サポート\n一覧へ
item.transition.idol_detail,アイドル\n詳細へ
item.transition.jewel_gasha,ジュエル\nガシャへ
item.transition.coin_gasha,コイン\nガシャへ
item.transition.exchange,交換所へ
item.transition.exchange.disable,対象の交換所は現在開いていません
item.transition.produce_boost,プロデュースへ
item.transition.story_event,イベントへ
item.exchange.title,ピース変換
item.exchange.list.empty,変換可能なアイドルのピースを所持していません。
item.exchange.list.piece.empty,変換するアイドルのピースが選択されていません。
item.exchange.button.execute,変換する
item.sheet.exchange.title,変換確認
item.sheet.exchange.description,選択中のアイドルのピースを変換してアイテムを獲得します。\nよろしいですか？
item.sheet.exchange.attention1,※変換すると選択中のアイドルのピースはなくなります
item.sheet.exchange.attention2,は余剰分以外が含まれているアイドルのピースです
item.toast.exchange,変換しました


// お仕事
work.top.title, お仕事
work.level.label, Lv
work.level, Lv{0}
work.fan.label, ファン数
work.fan.unit, 人
work.fine, 絶好調
work.reward, 報酬
work.reward_expected, 獲得予定報酬
work.reward_received, 獲得報酬
work.select.description, お仕事を選択
work.select.dearness_description, 親愛度レベルに応じて\n報酬量が増加
work.select.character_select.fine_description, 好調：大成功確定
work.character.working, お仕事中
work.select.character_select.submit, 選択する
work.select.work_time_select.submit, 決定する
work.start.title, お仕事開始確認
work.start.submit, 開始する
work.reward.main, メイン報酬
work.progress.cancel, 中止
work.progress.skip, 短縮
work.skip.title, お仕事短縮確認
work.skip.confirm,ジュエルを<color=#u:Negative>{0}</color>個消費してすぐにお仕事を完了させますか？
work.skip.count, 本日の残り短縮可能回数({0})： {1}/{2}
work.skip.limit, 短縮回数が上限に達しています
work.skip.submit, 短縮する
work.cancel.title, お仕事中止確認
work.cancel.description, 進行中のお仕事を中止しますか？\n<color=#u:Negative>進行度は保存されず、報酬は一切獲得できません</color>
work.cancel.submit, 中止する
work.cancel.result, お仕事を中止しました
work.jewel.shortage, 所持ジュエルが不足しています
work.fine.confirm, 他に選択可能な好調状態のアイドルがいます。\nこのまま次へ進んでよろしいですか？
work.result.title, お仕事完了
work.result.fan, (<color=#u:Positive>+{0}</color>)
work.result.submit, 完了
work.place.minute, {0}分
work.place.hour_minute, 
work.state.invalid_action, すでに完了したお仕事です
work.rate_excellent, 大成功確定\n報酬{0}倍
work.result.gift, 所持上限を超えたアイテムはプレゼントに送られました

// 課題
main_task.additional_reward,中間報酬
main_task.additional_reward.title,課題{0}に到達
main_task.top.title,課題
main_task.top.in_progress,進行中
main_task.feature_unlock,機能解放

// 課題の詳細
main_task.detail.title,課題
main_task.detail.info.unlock,で初星コミュ 1章「第{0}話」解放
main_task.detail.info.get,で獲得
main_task.detail.info.progress,進捗
main_task.detail.story.episode_prefix,第
main_task.detail.story.episode,話
main_task.detail.button.top,章一覧
main_task.detail.button.execute,課題挑戦
main_task.detail.button.disable_toast,まだ挑戦できません
main_task.detail.first_chapter,"初星コミュ 1章"
main_task.detail.group.lock,{0}クリアで解放

// 課題進捗オーバーレイ
main_task.progress_overlay.description,課題{0}クリアで特別報酬獲得

// 課題詳細シート
main_task.detail_sheet.title,課題
main_task.detail_sheet.list_button,課題一覧
main_task.detail_sheet.execute,挑戦する

// 課題ピックアップシート
main_task.pickup_sheet.title,ストーリー開放と目玉報酬
main_task.pickup_sheet.story,初星コミュ1章　{0}話　解放
main_task.pickup_sheet.additional.label,目玉報酬
main_task.pickup_sheet.additional.amount,{0}×{1}

// 課題達成
main_task.receive_overlay.title,課題
main_task.receive_overlay.achieve,達成
main_task.receive_overlay.message,報酬は自動で受け取られます
main_task.receive_overlay.gift,所持上限に達しているアイテムはプレゼントに送られました

// UnityService初期化エラー用
unity.service.init.error,初期化処理に失敗しました\n(unity.service.init.error)

// ショップ
shop.common.term_of_service,利用規約
shop.common.notes,注意事項
shop.top.title,ショップ
shop.top.law1,特定商取引法に基づく表示
shop.top.law1.short,特定商取引法表示
shop.top.law2,資金決済法に基づく表示
shop.top.law2.short,資金決済法表示
shop.list.title,パック
shop.jewel.title,ジュエル
shop.daily_exchange.title, デイリー交換所
shop.item_exchange.title, アイテム交換所
shop.ticket_exchange.title, チケット交換所
shop.ticket_exchange.none, チケットを所持していません
shop.pass.title,パス
shop.product_list.empty.jewel,購入できるアイテムはありません
shop.product_list.empty.pass,購入できるアイテムはありません
shop.product_list.empty.premium,購入できるアイテムはありません
shop.product_list.empty.special,購入できるアイテムはありません
shop.purchase.success,購入しました
shop.purchase.limit_over,購入上限に達しています
shop.label.price,¥{0:N0}
shop.label.free,無料
shop.label.term_suffix,期間
shop.label.term,{0}〜{1}
shop.label.limit,購入回数
shop.label.limit.count, あと {0}回
shop.label.limit.day,日
shop.label.limit.week,週
shop.label.limit.month,月
shop.label.price_prefix,価格
shop.label.jewel_free,所持無償ジュエル
shop.label.jewel_paid,所持有償ジュエル
shop.label.expire_date,期限
shop.label.sale,セール中
shop.detail.title,商品詳細
shop.detail.max_reward,最大獲得可能報酬
shop.detail.purchase,購入へ
shop.detail.purchased,購入済
shop.detail.to_jewel_purchase,ジュエル購入へ
shop.purchase.inquiry,お問い合わせ
shop.purchase.confirm.title,購入確認
shop.purchase.confirm.free.description,ジュエルを<color=#u:Negative>{0}</color>個消費して{1}を購入しますか？
shop.purchase.confirm.paid.description,有償ジュエルを<color=#u:Negative>{0}</color>個消費して{1}を購入しますか？
shop.purchase.confirm.reward,獲得可能報酬
shop.purchase.confirm.max_reward,最大獲得可能報酬
shop.purchase.confirm.jewel_free_priority,無償ジュエルから先に消費されます
shop.purchase.confirm.jewel_shortage,所持ジュエルが不足しています
shop.purchase.confirm_price.title,購入金額
shop.purchase.confirm_price.description,"今月の購入金額が{0:N0}円を超えます\n購入を続けますか？"
shop.purchase.complete.title,購入完了
shop.purchase.complete,購入が完了しました
shop.purchase.complete.description,{0}\nを購入しました
shop.purchase.disable.description,この商品は購入できません
shop.purchase.retry,リトライ
shop.purchase.cancel,購入をキャンセルしました
shop.purchase.recover.title,購入処理再開
shop.purchase.recover.description,購入処理途中の商品があります。\n購入処理を再開します
shop.purchase.recover.failure.title,購入商品の付与失敗
shop.purchase.recover.failure.description,以前のアカウントで購入商品の付与に失敗しています。お問い合わせください。
shop.purchase.limit.title,限度額超過
shop.purchase.limit.payed_jewel,"購入が中止されました。有償ジュエルの所持数が上限を超えています。\n有償ジュエルの所持上限は{0:N0}個です。"
shop.purchase.limit.age,購入限度額を超過しているため、\n購入いただくことができません
shop.purchase.error.title,購入処理エラー
shop.purchase.error.canceled_due_to_running,購入処理に失敗しました\n(purchase.canceled.due.to.running)
shop.purchase.error.failed,購入処理に失敗しました\n({0})
shop.purchase.error.is_deferred,支払いを完了させてください。支払い完了後、ログインし直すと購入したアイテムが付与されます
shop.purchase.error.unknown,購入処理に失敗しました
shop.network.error.not_reachable,サーバーとの通信に失敗しました\n(purchase.init.network.not.reachable)
shop.network.error.time_out,サーバーとの通信に失敗しました\n(purchase.init.timeout)
shop.network.error.cancel_due_to_running,初期化処理に失敗しました。\n(purchase.init.cancel.due.to.running)
shop.init.error.unavailable,端末の設定でアプリ内課金が無効になっています。\n設定を変更して許可してください。\n({0})
shop.init.error.failure,初期化処理に失敗しました。\n({0})
// ショップの年齢登録シート
shop.age_registration_sheet.title,生年月日入力
shop.age_registration_sheet.description,年齢確認のため、生年月日をご入力ください。\n未成年の方がアプリ専用通貨等を購入される場合には、\n法定代理人（ご両親等）の同意を確認するため、\n確認画面が表示されます。
shop.age_registration_sheet.age_limit,年齢別購入限度額
shop.age_registration_sheet.age_limit.left,{0}歳未満：\n{1}歳〜{2}歳：\n{3}歳以上：
shop.age_registration_sheet.age_limit.right,"1ヶ月{0:N0}円まで\n1ヶ月{1:N0}円まで\n限度なし"
shop.age_registration_sheet.description_kana,※ないようがわからないときは、おうちのひとに\n　がめんをみせてください
shop.age_registration_sheet.label.year,年
shop.age_registration_sheet.label.month,月
shop.age_registration_sheet.label.day,日
shop.age_registration_sheet.invalid_date.toast,不正な日付です
shop.age_confirm.title,生年月日入力
shop.age_confirm.description,入力された生年月日に間違いはありませんか？
shop.age_confirm.birthday,{0}年 {1}月 {2}日
shop.age_confirm.warning,※確定後、後から変更ができません
shop.parent_confirm.title,親権者同意
shop.parent_confirm.description,未成年の方がアプリ専用通貨等を購入される場合には、\n法定代理人（ご両親等）の同意を得てから\n購入してください。
shop.parent_confirm.accept,同意を得て購入

// コインガシャ
shop.coin_gasha_top.title,コインガシャ
shop.coin_gasha.feature_reward.title,ピックアップ報酬
shop.coin_gasha.remain_time,期限
shop.coin_gasha.draw_button,引く
shop.coin_gasha.draw_button.unit,回

// コインガシャ結果
shop.coin_gasha_result.title,{0}ガシャリザルト
shop.coin_gasha_result.title_en,Result
shop.coin_gasha_result.description,獲得した報酬は直接付与されます。
shop.coin_gasha_result.gift_description,所持上限に達したものはプレゼントに送られました。

// 交換所
exchange.list.title.daily, デイリー交換所
exchange.list.title.item, アイテム交換所
exchange.select.title, アイテム交換所
exchange.select.common, 通常交換
exchange.select.event, イベント交換
exchange.confirm.title, 交換確認
exchange.confirm.description,{0}を使用して以下のアイテムと交換しますか？
exchange.confirm.consumption.label, 所持数
exchange.confirm.detail, 詳細
exchange.confirm.count.label, 交換可能回数
exchange.confirm.consumption_shortage, 所持{0}が不足しています
exchange.confirm.expired, 期間外です
exchange.product.menu.list.cell.limit,{0:N0}/{1:N0}
exchange.product.menu.list.cell.remain.day, あと {0}日
exchange.product.menu.list.cell.remain.hour, あと {0}時間
exchange.product.menu.list.cell.remain.minute, あと {0}分
exchange.event.button.label, イベントTOPへ
exchange.recommend.label, おすすめ
exchange.count.limit, あと{0}回
exchange.count.change, 必要アイテム個数変更
exchange.count.change.description,次回から1回交換あたりの消費アイテム量が以下になります。
exchange.cost.name, 必要{0}
exchange.consumption.less, 交換アイテムが不足しています
exchange.max.once, 一度に交換できる回数は最大{0}回です
exchange.limit.no, 上限なし
exchange.reset.free, {0}回無料
exchange.sold.out, 交換済み
exchange.enable.count, 交換可能回数
exchange.update.day, あと{0}日で更新
exchange.update.hour, あと{0}時間{1}分で更新
exchange.update.minute, あと{0}分で更新
exchange.update.less, あと0分で更新
exchange.update.title, 更新確認
exchange.update.button, 更新
exchange.update.description,<color=#u:Negative>ジュエルを{0:N0}個</color>消費して、ラインナップを更新しますか？
exchange.update.count_label, 更新可能回数
exchange.update.count, あと{0}回
exchange.time_limit, 交換期間：{0}まで
exchange.complete.confirm,交換しました。
exchange.complete.gift,所持上限を超えたアイテムはプレゼントに送られました
exchange.jewel.less,ジュエルが不足しています
exchange.list.sold,交換済みです
exchange.list.update,リストを更新しました
exchange.list.event.confirm.title, 移動確認
exchange.list.event.confirm.content, イベントTOPに移動しますか？
exchange.attention.idol_card_skin_to_piece,獲得済みのプロデュースアイドルです。\nピースに変換して獲得します。
exchange.error.no_exchange.title, 交換所確認
exchange.error.no_exchange.description, 交換できるものがありません
exchange.error.no_exchange.submit, ホームへ

// チケット交換所
exchange.ticket_select.title, チケット交換所
exchange.ticket_select.submit, 交換選択
exchange.ticket_list.tab.idol_card, プロデュースアイドル
exchange.ticket_list.tab.support_card, サポートカード
exchange.ticket_list.tab.costume_head, 髪型・アクセサリー
